ip,round,value
10.42.0.123,7544,8.914007646410347
10.42.0.123,7656,10.028426779177405
10.42.0.123,7745,9.181819173226401
10.42.0.123,7832,9.95911428044094
10.42.0.123,7924,10.527995689035656
10.42.0.123,8015,10.783951396552437
10.42.0.123,8102,10.892184259088348
10.42.0.123,8188,10.541529288147007
10.42.0.123,8278,10.453158785381897
10.42.0.123,8365,5.383667360890633
10.42.0.123,8406,7.464321732113788
10.42.0.123,8446,8.797417197814326
10.42.0.123,8497,9.821033103747613
10.42.0.123,8620,9.363019347439813
10.42.0.123,8738,10.505617808609493
10.42.0.123,8826,10.797693366167973
10.42.0.123,8918,10.594575782665883
10.42.0.123,9008,10.352946212199281
10.42.0.123,9099,10.151633554154424
10.42.0.123,9190,5.555321192165571
10.42.0.123,9278,8.517032590694699
10.42.0.123,9368,9.670277049432338
10.42.0.123,9443,8.888340136318675
10.42.0.123,9490,9.106626199370861
10.42.0.123,9519,9.351860778913002
10.42.0.123,9597,9.93717005697346
10.42.0.123,9743,10.942301937633934
10.42.0.123,9840,11.041652303423854
10.42.0.123,9930,11.191997249629102
10.42.0.116,10096,12.331174732922833
10.42.0.116,10167,11.076635249734199
10.42.0.116,10244,11.583706762421395
10.42.0.116,10330,11.789237782697386
10.42.0.116,10417,11.753247063137435
10.42.0.116,10507,11.500807286632012
10.42.0.116,10596,12.22209651318507
10.42.0.116,10687,12.988503219997368
10.42.0.116,10776,12.168083179836243
10.42.0.116,10864,11.075773843363663
10.42.0.116,10952,10.033247499764693
10.42.0.116,11041,10.17726138061262
10.42.0.116,11128,10.29906934878984
10.42.0.116,11186,10.351623839561487
10.42.0.116,11230,10.370763129616922
10.42.0.116,11309,10.376491025540124
10.42.0.116,11441,10.533215723889693
10.42.0.116,11528,12.419316153954163
10.42.0.116,11614,12.416085331724396
10.42.0.116,11701,12.055903522028729
10.42.0.116,11790,10.249975620788046
10.42.0.116,11879,10.872891822501117
10.42.0.116,11967,10.963390958525352
10.42.0.116,12055,10.660770074858252
10.42.0.116,12142,9.841607485384257
10.42.0.116,12231,9.158776306818279
10.42.0.116,12295,9.418041443331852
10.42.0.116,12367,11.611169263997981
10.42.0.116,12456,12.517724674417119
10.42.0.116,12543,12.50537404403916
10.42.0.116,12631,10.36127702383196
10.42.0.116,12721,10.924262356984775
10.42.0.116,12811,10.908624650012953
10.42.0.116,12901,10.757301670190017
