ip,round,value
10.42.0.118,1631,12.22359814462428
10.42.0.118,1675,10.046961804399464
10.42.0.118,1718,9.326855257762015
10.42.0.118,1765,8.270266944114578
10.42.0.118,1812,8.109211161519667
10.42.0.118,1861,7.664506021159134
10.42.0.118,1897,7.719047068695923
10.42.0.118,1906,7.776031583190714
10.42.0.118,1907,14.873185887170111
10.42.0.118,1908,14.748885546907225
10.42.0.118,1909,14.627047797987125
10.42.0.118,1910,14.507647963482135
10.42.0.118,1911,14.390637261915222
10.42.0.118,1912,14.275967887902663
10.42.0.118,1913,14.12363748936085
10.42.0.118,1914,13.974992872678303
10.42.0.118,1915,13.82994753874007
10.42.0.118,1916,13.688416981668734
10.42.0.118,1926,12.449165466396897
10.42.0.118,1965,9.727934599553022
10.42.0.118,1980,13.565661058444368
10.42.0.118,1997,11.92310669183545
10.42.0.118,2012,10.898373981266039
10.42.0.118,2056,9.271327452946581
10.42.0.118,2088,8.810226119711553
10.42.0.118,2089,8.813439725170841
10.42.0.118,2090,8.816632723867675
10.42.0.118,2092,8.824027055400158
10.42.0.118,2133,9.053158662091857
10.42.0.118,2175,8.23540179692688
10.42.0.118,2215,10.80692440935394
10.42.0.118,2256,9.053389953937478
10.42.0.118,2291,8.590999552205314
10.42.0.118,2305,8.521894119622852
10.42.0.118,2317,8.491221294634395
10.42.0.118,2332,8.477048700464787
10.42.0.118,2372,8.500258409658235
10.42.0.118,2412,8.507074942177242
10.42.0.118,2450,8.519976361754662
10.42.0.118,2488,8.523275149929239
